title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
risk,9.0,"['Mary Brown', 'Nathan Wells', 'Tina Perez', 'Cindy Castillo', 'Cindy Castillo']","['Nathan Wells', 'Nathan Wells', 'Matthew Proctor', 'April Mitchell', 'Cindy Castillo']","['Theresa Greene', 'Mary Brown', 'Cindy Castillo', 'Tina Perez', 'Tina Perez']",Seek so send area once manager.,"['Mystery', 'Biographical', 'War', 'Science Fiction (Sci-Fi)', 'Mystery']",2002-10-05,"['Monaco', 'Bolivia', 'Syrian Arab Republic', 'Vanuatu', 'Benin']","['Cree', 'Bulgarian', 'Zhuang']",['West Katieton'],"Rodriguez, Gonzales and Smith",4119890,8356134,72
measure,9.7,"['Laurie Fitzpatrick', 'Theresa Greene', 'Alec Mcknight']","['Teresa Mcfarland', 'Nathan Wells', 'Matthew Proctor']","['Mary Brown', 'Cindy Castillo', 'Mary Brown', 'Theresa Greene']",Card can voice sound.,"['Western', 'Sport', 'Superhero', 'War']",1983-05-13,"['Belgium', 'Russian Federation', 'Belarus', 'Sri Lanka', 'South Georgia and the South Sandwich Islands']","['Tagalog', 'Aragonese', 'Esperanto']","['North Sarah', 'Watsonmouth', 'Johnsonmouth']",Johnson-Carlson,3038331,7370252,165
color,8.8,"['Laurie Fitzpatrick', 'Matthew Proctor', 'Matthew Proctor', 'Alec Mcknight']",['Tina Perez'],"['Mary Brown', 'Nathan Wells', 'Alec Mcknight']",Station share week.,"['Western', 'Documentary', 'Western']",1983-01-12,"['Christmas Island', 'South Africa', 'Panama', 'Greece', 'Qatar']","['Tatar', 'Gaelic', 'Ojibwa', 'Macedonian']","['Dianahaven', 'Adamsfort', 'Port Mary']",Wallace-Schmidt,8961424,6995038,165
reach,7.5,"['April Mitchell', 'Mary Brown', 'April Mitchell', 'Theresa Greene']","['April Mitchell', 'Alec Mcknight', 'Nathan Wells', 'Laurie Fitzpatrick', 'Tina Perez']","['Tina Perez', 'Tina Perez']",Major property citizen body individual.,['Romance'],2017-06-24,"['Reunion', 'Korea']","['Turkish', 'Rundi', 'Estonian', 'Greek']",['Victoriamouth'],Briggs-Mcpherson,335630,4098139,72
itself,6.7,"['Tina Perez', 'Theresa Greene', 'Tina Perez', 'Matthew Proctor', 'Matthew Proctor']",['Mary Brown'],['Nathan Wells'],Whether popular bag adult school collection form.,"['Action', 'Crime', 'Superhero', 'Biographical']",2013-12-04,"['Malta', 'Indonesia', 'Croatia']","['Pali', 'Swati', 'Church Slavic', 'Sango', 'Chamorro']","['Port Maryport', 'Nicholaston', 'Smithton', 'Sharonfort']","Malone, Gallagher and Fletcher",4175767,8616780,161
rock,4.2,['Matthew Proctor'],"['Nathan Wells', 'Theresa Greene', 'Theresa Greene', 'Nathan Wells', 'Mary Brown']","['Teresa Mcfarland', 'Teresa Mcfarland', 'Tina Perez', 'Teresa Mcfarland', 'Theresa Greene']",Near apply require out.,"['Crime', 'Drama', 'Historical', 'Family', 'Fantasy']",2009-05-31,"['South Georgia and the South Sandwich Islands', 'Thailand']","['Macedonian', 'Samoan', 'Hungarian']","['West Sherrymouth', 'Thomasville']",Martin LLC,8252450,224833,167
citizen,0.2,['Alec Mcknight'],"['Matthew Proctor', 'Laurie Fitzpatrick', 'Mary Brown']","['Alec Mcknight', 'Theresa Greene', 'Teresa Mcfarland']",West specific agreement account thus.,"['Animation', 'Biographical']",1982-06-14,['Guatemala'],"['Czech', 'German', 'Hindi', 'Ganda']",['Davidmouth'],Jackson Group,4008795,7479100,169
data,0.1,['Cindy Castillo'],"['Cindy Castillo', 'Mary Brown']","['Mary Brown', 'Nathan Wells', 'Theresa Greene', 'Cindy Castillo', 'Laurie Fitzpatrick']",Anything heart law security.,"['Musical', 'Biographical']",1984-01-16,['Algeria'],['Chinese'],['Rushchester'],"Reyes, Herrera and Davis",6458047,9993569,118
fall,0.5,['Laurie Fitzpatrick'],['Tina Perez'],"['Alec Mcknight', 'Mary Brown', 'Theresa Greene', 'April Mitchell']",Seem into only special make seek.,"['Crime', 'Musical', 'Fantasy']",1992-07-02,"['Saint Kitts and Nevis', 'Guinea', 'Spain', 'Kuwait']","['Urdu', 'Pali', 'Vietnamese', 'Danish', 'Dzongkha']","['East Ginaland', 'Stoneburgh', 'Nicholshaven']","Middleton, Wilson and Morton",4849618,6005209,148
health,2.8,"['Theresa Greene', 'Cindy Castillo']","['Mary Brown', 'Alec Mcknight']","['Theresa Greene', 'Teresa Mcfarland', 'Nathan Wells', 'Teresa Mcfarland']",Actually whose yourself authority lead improve.,['Comedy'],2005-06-29,"['Faroe Islands', 'Czech Republic', 'Anguilla', 'Serbia']",['Xhosa'],"['North Daniel', 'West Davidhaven', 'Port Joeport', 'Lake Chadhaven', 'Michaelborough']",Hopkins LLC,5842876,7232419,140
