title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
remain135,8.2,"['Steven Butler', 'Wayne Miller']","['Hailey Hill', 'Wayne Miller', 'Steven Butler', 'Lauren Johnson', 'Hailey Hill']","['Christopher Adkins', 'Lauren Ryan', 'Lauren Johnson', 'Lauren Ryan', 'Hailey Hill']",Consumer between recently field action child number create.,"['Adventure', 'Biographical', 'Family', 'Family']",2000-11-18,"['Iceland', 'Tajikistan', 'Iceland', 'Saudi Arabia']","['Bosnian', 'Pushto', 'Tonga', 'Interlingua', 'Russian']","['Lesliefort', 'Weavertown', 'East Ericaberg']",Roberts-Hernandez,342191,200222,00:35:31
amount9,5.2,"['Christopher Adkins', 'Vicki Acosta', 'Steven Butler', 'Hailey Hill']","['Christopher Adkins', 'Jacob Mccoy', 'Vicki Acosta', 'Wayne Miller', 'Wayne Miller']","['Donald Martinez', 'Linda Moore']",Community continue fall eat.,['Science Fiction (Sci-Fi)'],1999-07-08,"['Congo', 'Norfolk Island', 'Benin']",['Oriya'],"['Jeanberg', 'Coreymouth', 'Donaldfurt']","Dorsey, Aguilar and Thompson",750346,287712,01:20:52
tend870,8.8,"['Lauren Ryan', 'Steven Butler', 'Wayne Miller']","['Steven Butler', 'Steven Butler', 'Christopher Adkins']","['Christopher Adkins', 'Linda Moore', 'Steven Butler', 'Steven Butler', 'Lauren Ryan']",Close people follow score performance next station.,"['War', 'Thriller', 'Historical', 'Western', 'Horror']",2001-05-07,"['Djibouti', 'Tajikistan', 'Timor-Leste', 'Guadeloupe']","['Kinyarwanda', 'Arabic', 'Kashmiri', 'Panjabi']","['South Dominiquefort', 'West Ronald', 'West John']",Fields Group,293114,760354,03:38:30
add614,8.5,"['Hailey Hill', 'Donald Martinez', 'Vicki Acosta']",['Christopher Adkins'],"['Lauren Ryan', 'Jacob Mccoy', 'Steven Butler']",Gas great themselves professional somebody.,['Superhero'],1988-08-27,"['Falkland Islands (Malvinas)', 'Czech Republic', 'Lebanon', 'Georgia']","['Basque', 'Wolof']","['North Christopherburgh', 'Port Stevenfort']",Robertson-Martinez,604723,139493,00:12:32
language379,4.4,"['Donald Martinez', 'Vicki Acosta', 'Linda Moore']","['Hailey Hill', 'Jacob Mccoy']","['Hailey Hill', 'Hailey Hill', 'Christopher Adkins', 'Jacob Mccoy']",Me mean board boy simply threat.,['Crime'],2002-01-25,"['Mayotte', 'Central African Republic', 'Canada', 'Timor-Leste', 'Brazil']","['Bislama', 'Yiddish', 'Uighur', 'Nauru', 'Assamese']","['Washingtonfurt', 'New Ryanchester', 'South Stevenborough']","Burton, Rivera and Brennan",855941,240565,01:29:05
there669,9.1,['Donald Martinez'],"['Linda Moore', 'Jacob Mccoy']",['Jacob Mccoy'],Tree point investment modern build usually those ground.,"['Documentary', 'Romance', 'Thriller', 'Crime']",2014-08-08,"['Uruguay', 'Hong Kong', 'Pakistan', 'Saint Pierre and Miquelon', 'Morocco']","['Vietnamese', 'Hausa', 'Maori']","['Bakertown', 'Hodgesmouth']","Glenn, Mccoy and Raymond",822115,552708,03:27:52
end545,4.0,"['Lauren Ryan', 'Christopher Adkins', 'Lauren Johnson', 'Linda Moore', 'Donald Martinez']","['Lauren Johnson', 'Christopher Adkins']",['Lauren Johnson'],Executive discussion energy story really.,"['Superhero', 'Family', 'Western']",1993-12-12,"['Saint Helena', 'Liberia', 'Ecuador']","['Vietnamese', 'Swedish']","['Jasonshire', 'Scottberg', 'West Kristiville', 'Moyerview', 'East Mariafort']",Andrade-Hernandez,163311,771652,00:24:10
opportunity169,9.9,"['Wayne Miller', 'Christopher Adkins']",['Jacob Mccoy'],"['Wayne Miller', 'Lauren Johnson', 'Donald Martinez']",Stuff toward condition cut poor modern available.,"['Action', 'Biographical']",2013-02-13,"['Botswana', 'Togo', 'Saint Kitts and Nevis']",['Interlingua'],"['Hartstad', 'Lake Edwardhaven', 'Herringshire']","Walker, Wilson and Wallace",710631,172821,00:07:12
appear452,3.5,['Lauren Ryan'],"['Lauren Johnson', 'Wayne Miller', 'Linda Moore']","['Steven Butler', 'Vicki Acosta', 'Wayne Miller', 'Linda Moore', 'Linda Moore']",Management hour game couple myself.,"['Science Fiction (Sci-Fi)', 'Action', 'Sport', 'Adventure', 'Romance']",1970-01-15,"['Nauru', 'Monaco', 'Malaysia', 'Cuba']",['Assamese'],['Joneston'],Hernandez and Sons,836859,941885,00:20:14
agency300,0.7,"['Donald Martinez', 'Hailey Hill', 'Lauren Johnson', 'Vicki Acosta']",['Lauren Ryan'],"['Vicki Acosta', 'Lauren Ryan', 'Lauren Ryan', 'Wayne Miller', 'Lauren Ryan']",House throw traditional total.,['Horror'],1974-05-25,"['Canada', 'Iceland']",['Limburgan'],"['Nobleburgh', 'Leehaven', 'Melendezland', 'North Brianborough', 'Valdezbury']",Hamilton PLC,679308,582098,02:18:25
