title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
himself390,5.7,['Stephen Rodriguez'],"['Christina Kelley', 'Stephen Rodriguez']",['Jenna Fowler'],Population nothing pretty month country our home.,"['Fantasy', 'Horror', 'Science Fiction (Sci-Fi)', 'Thriller']",1997-05-27,"['Vanuatu', 'Congo']",['Dutch'],"['East Steven', 'Samanthaview']",Allen and Sons,453678,463076,84
subject59,4.0,"['Christina Kelley', 'Robert Fox', 'Karen Hamilton']","['Adrian Franklin', 'Adrian Franklin', 'Adrian Franklin']","['Laura Phillips', 'Christina Kelley', 'Robert Fox']",Western knowledge fear.,"['Mystery', 'War', 'Western', 'War']",1993-06-09,"['Mali', 'Iraq', 'Samoa', 'Bouvet Island (Bouvetoya)', 'Israel']","['Armenian', 'Kalaallisut', 'Finnish', 'Kurdish', 'Macedonian']","['South Samanthaport', 'Robertville', 'Quinnfurt', 'Port Latasha', 'Lake Daniel']",Brown PLC,680541,821872,66
religious65,0.4,"['Robert Fox', 'Christina Kelley']","['Karen Hamilton', 'Karen Hamilton', 'Stephen Rodriguez']","['Daniel Watts', 'Laura Phillips', 'Stephen Rodriguez']",Talk success seat peace.,"['Documentary', 'Horror', 'Crime', 'Historical']",2009-01-31,['Montserrat'],"['Sanskrit', 'Western Frisian', 'Polish', 'Icelandic', 'Lingala']","['Sheilaside', 'Port Juliaview', 'South Christopher']",Jenkins LLC,668766,241341,178
clear828,4.1,"['Robert Fox', 'Adrian Franklin', 'Karen Hamilton']","['Daniel Watts', 'Jenna Fowler', 'Chelsea Stein', 'Laura Phillips']","['Christina Kelley', 'Chelsea Stein', 'Adrian Franklin', 'Chelsea Stein', 'Adrian Franklin']",Hotel action bad budget.,"['Biographical', 'War', 'Adventure', 'Horror']",2007-02-24,"['Saint Martin', 'Denmark', 'Eritrea', 'Costa Rica']","['Kuanyama', 'Aragonese', 'Slovak']","['West Tyler', 'Hansenview']",Reid-Dean,525446,702414,89
goal32,2.7,['Jenna Fowler'],"['Chelsea Stein', 'Laura Phillips', 'Laura Phillips', 'Karen Hamilton', 'Robert Fox']","['Adrian Franklin', 'Stephen Rodriguez', 'Karen Hamilton', 'Jenna Fowler', 'Chelsea Stein']",Land brother two new.,"['Western', 'Historical']",2008-11-07,['Peru'],"['Tsonga', 'Occitan', 'Assamese']","['Riveramouth', 'East Rebeccashire', 'Port Steve', 'South Abigail']",Smith-Brown,921336,197051,97
many392,4.1,['Daniel Watts'],"['Daniel Watts', 'Robert Fox', 'Christina Kelley', 'Karen Hamilton', 'Laura Phillips']","['Jenna Fowler', 'Stephen Rodriguez', 'Robert Fox', 'Karen Hamilton']",Say however forward ready kind.,"['Horror', 'Mystery', 'Documentary']",1974-02-23,"['Mozambique', 'Trinidad and Tobago', 'Central African Republic', 'Estonia', 'Portugal']","['Irish', 'Norwegian', 'Romansh']","['Yangfort', 'Stevensonshire', 'North Stacey']",Mccarthy-Reed,852993,523616,95
buy303,3.5,"['Jenna Fowler', 'Jenna Fowler']","['Karen Hamilton', 'Chelsea Stein', 'Christina Kelley', 'Jenna Fowler', 'Adrian Franklin']","['Christina Kelley', 'Stephen Rodriguez', 'Vanessa Petersen', 'Laura Phillips', 'Laura Phillips']",Pass point whatever people expect teacher.,"['Horror', 'Action', 'Documentary', 'Science Fiction (Sci-Fi)']",1981-04-21,['Falkland Islands (Malvinas)'],"['Oriya', 'Dzongkha']","['Williamsville', 'East Danielhaven', 'East Taylorville']","Estrada, Webster and Williamson",352059,608936,94
audience102,6.8,"['Jenna Fowler', 'Laura Phillips']","['Vanessa Petersen', 'Jenna Fowler', 'Robert Fox']",['Daniel Watts'],Year rate people.,"['Sport', 'Mystery', 'Thriller', 'Action']",2012-10-31,"['Vanuatu', 'Jamaica', 'Saint Pierre and Miquelon']","['Belarusian', 'Luba-Katanga', 'Malayalam', 'Maltese', 'Fulah']","['West Stephaniemouth', 'South Robinhaven', 'Port Christine', 'South Jacob', 'Jessicaville']",Estes-Pace,803882,561913,73
stay241,4.9,"['Robert Fox', 'Christina Kelley', 'Vanessa Petersen']","['Chelsea Stein', 'Jenna Fowler', 'Chelsea Stein']","['Karen Hamilton', 'Adrian Franklin', 'Vanessa Petersen', 'Robert Fox']",Enjoy bed everyone threat better seem author.,"['Comedy', 'Science Fiction (Sci-Fi)', 'Superhero', 'Musical']",1983-10-05,"['United Kingdom', 'Guyana', 'Ethiopia']","['Hindi', 'Ewe', 'Kuanyama', 'Afrikaans']","['New Kenneth', 'Danielton', 'West Pamela', 'Zacharyfurt']",Velazquez-Villegas,570418,952522,94
identify357,9.9,"['Chelsea Stein', 'Adrian Franklin', 'Adrian Franklin', 'Jenna Fowler']","['Chelsea Stein', 'Adrian Franklin']","['Christina Kelley', 'Daniel Watts', 'Vanessa Petersen', 'Adrian Franklin']",Time to couple low outside.,['Sport'],2002-07-17,"['China', 'Spain']","['Haitian', 'Shona']","['Amybury', 'Hermanburgh', 'Karenmouth', 'Matthewview']",Abbott-Anthony,924860,986087,161
word929,4.2,"['Adrian Franklin', 'Karen Hamilton']",['Jenna Fowler'],['Adrian Franklin'],Us low color those.,"['Crime', 'Historical', 'Sport']",2016-12-14,"['Trinidad and Tobago', 'Burkina Faso', 'Somalia', 'Kazakhstan']","['Vietnamese', 'Interlingua']","['Meghanmouth', 'Lake Michaelburgh', 'West Ericfurt']",Johnson Group,238898,318722,108
