title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime,created_at,updated_at
daughter,6.2,Sharon Sullivan,Jill Collins,Erica Chase,Myself bed whom political situation.,"['fine', 'nice', 'finish', 'employee']",2003-06-01,Holy See (Vatican City State),eo,Lake Amy,Murphy LLC,5238495,894344,109,2003-12-31 12:23:58,1970-11-25 06:16:52
enough,3.6,Ryan Grant,Jacob Snyder,Jason Mueller,Economy difficult line place eight dog.,['night'],2006-11-26,Burundi,ve,Ramirezfort,"Smith, Hill and Mooney",4725813,5306828,178,1990-04-19 08:30:20,2005-01-21 02:51:21
eat,1.2,Robert Mckinney,Miranda Rocha,Gary Garcia,Strong if option see interesting girl civil.,"['notice', 'together', 'among', 'thank']",1998-08-15,Sao Tome and Principe,bo,Freemanburgh,"Martinez, Mills and Davis",6075810,4754360,62,1983-12-03 03:53:02,1974-12-21 11:21:24
second,5.6,Margaret Lyons,Kimberly Alexander,Lauren Sanchez,Safe also try growth.,['despite'],1990-11-09,Saint Lucia,tg,Quinnmouth,Hancock and Sons,7827784,9418457,84,1981-01-06 21:58:34,2009-07-28 11:13:26
child,4.3,Charles Miller,Kelly Mueller,Monica Mathews,Son animal arm away support note perform.,"['item', 'we', 'movement']",1993-05-09,Kuwait,mn,Gonzalezside,"Woods, Tanner and Perez",323005,8374578,132,1983-08-13 09:30:44,1973-11-02 18:30:19
nothing,2.5,Kathryn Andrews,Rachel Travis,John Roth,Through blue attorney hotel be.,"['impact', 'candidate', 'read', 'hope', 'anyone']",2016-01-01,Chad,my,Penaview,Rhodes and Sons,7317608,7599943,164,1999-06-06 20:37:41,2011-09-18 12:13:51
treat,8.5,Deborah Pennington,Victor Williams,Benjamin Cohen,Campaign want fly majority author form where.,"['wish', 'appear', 'big', 'report']",1987-02-02,Sri Lanka,shs,Schmidtfort,"Blackwell, Bowen and King",6057172,4450539,122,2000-07-15 20:06:35,1999-09-11 03:37:09
computer,4.2,Shelby Hart,Tina Rios,Ms. Christine Martinez,Area yet feeling building culture true.,"['certain', 'dream', 'still', 'draw', 'responsibility']",2022-05-27,Syrian Arab Republic,niu,Hansenton,Gutierrez-Hernandez,195441,9776504,121,2018-11-17 00:12:05,1993-05-03 03:59:20
music,8.5,James Evans,Taylor Martinez,Nicholas Washington,Whose describe police affect piece.,"['deal', 'statement', 'according', 'cause']",1992-06-19,Djibouti,the,Jasonburgh,Jones-Barnett,2251901,1863474,129,2011-07-31 22:14:07,2021-08-12 14:01:36
life,3.4,Anna Harper,Mary Escobar,George Foster,Call light majority middle.,"['different', 'alone', 'officer', 'whom']",2014-04-14,Belgium,tcy,West Christinaburgh,Mccullough-Smith,8718266,8113798,85,2005-02-16 08:19:09,2016-05-04 00:21:15
